#{"t_start": 1518616763.8353412, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,64.370165
2.0,204,132.965634
1.0,173,187.014179
4.0,299,286.695292
0.0,127,326.489636
2.0,202,393.387546
1.0,176,448.985638
2.0,202,514.140774
2.0,223,585.784002
0.0,127,625.237548
1.0,159,677.724313
2.0,188,737.725721
3.0,250,818.870821
1.0,173,877.442719
0.0,125,919.836392
0.0,129,959.981981
0.0,129,999.667923
0.0,129,1039.801463
2.0,183,1097.967523
2.0,201,1162.110878
0.0,129,1201.969654
0.0,129,1241.816943
1.0,155,1289.845622
2.0,224,1361.189612
1.0,173,1415.519869
0.0,127,1454.873599
3.0,271,1542.63778
2.0,203,1607.379451
0.0,127,1646.94086
2.0,183,1704.219786
0.0,129,1743.751521
0.0,129,1783.921672
1.0,157,1833.445839
4.0,321,1938.493698
0.0,127,1977.833662
3.0,272,2067.46759
0.0,129,2107.051443
0.0,129,2146.232856
0.0,129,2189.99326
3.0,228,2265.37761
0.0,129,2305.809492
1.0,155,2356.782954
1.0,175,2413.168262
2.0,205,2480.313608
2.0,200,2545.274262
2.0,192,2608.46556
0.0,125,2647.465671
3.0,257,2733.775373
1.0,157,2783.384474
1.0,170,2837.402274
3.0,252,2921.165746
2.0,186,2987.063049
0.0,129,3031.648886
3.0,274,3135.338042
3.0,234,3220.923405
1.0,155,3272.320662
0.0,129,3313.155956
2.0,202,3378.910049
2.0,201,3445.36125
2.0,204,3512.189654
4.0,315,3619.466282
0.0,129,3662.389682
2.0,184,3730.330902
0.0,125,3773.715049
1.0,155,3824.555282
0.0,127,3865.489106
1.0,175,3925.16164
0.0,129,3968.478675
0.0,127,4026.958178
0.0,129,4089.862459
1.0,157,4164.639559
3.0,251,4290.323128
1.0,154,4363.927336
2.0,199,4459.829044
2.0,220,4567.194993
3.0,216,4672.247841
4.0,276,4809.590103
0.0,123,4864.740067
0.0,129,4925.114099
0.0,123,4981.772919
2.0,206,5084.232524
0.0,125,5142.406001
1.0,173,5225.757315
3.0,274,5361.618224
0.0,129,5421.006598
1.0,154,5494.671855
1.0,153,5565.522605
0.0,129,5624.719295
2.0,224,5734.868487
0.0,125,5794.614805
1.0,173,5876.436083
0.0,129,5936.554444
0.0,127,5996.661697
1.0,171,6077.639131
0.0,127,6137.93291
3.0,247,6260.2535
2.0,202,6357.820896
1.0,157,6433.141968
0.0,129,6493.760343
0.0,127,6552.005195
2.0,219,6658.388308
1.0,157,6733.887625
0.0,125,6791.570126
1.0,175,6874.889662
1.0,173,6958.704499
2.0,200,7055.606865
2.0,223,7165.597247
0.0,129,7226.079061
1.0,177,7312.029315
1.0,173,7396.025239
0.0,127,7454.170769
2.0,202,7553.145308
2.0,222,7660.029988
2.0,220,7769.347776
3.0,270,7902.960023
1.0,158,7978.771436
1.0,157,8052.885003
2.0,198,8149.788866
0.0,127,8209.962662
1.0,155,8283.603034
0.0,129,8344.80505
0.0,127,8403.794565
2.0,224,8514.495583
2.0,198,8611.68819
1.0,155,8685.458193
1.0,172,8768.864885
1.0,173,8852.935946
0.0,127,8911.349917
3.0,232,9026.403374
1.0,174,9109.769907
0.0,125,9167.394017
3.0,272,9302.40711
1.0,170,9382.837248
0.0,123,9440.085656
2.0,187,9529.317958
4.0,274,9666.168637
2.0,202,9765.209443
1.0,169,9846.356551
1.0,177,9932.612196
0.0,127,9990.853131
0.0,127,10051.202799
1.0,157,10125.062154
1.0,175,10211.140324
1.0,155,10283.940362
4.0,299,10433.302252
2.0,202,10530.37767
0.0,129,10590.090696
1.0,171,10673.851315
1.0,153,10747.129198
3.0,270,10881.75827
2.0,223,10992.160723
2.0,201,11088.776237
0.0,127,11149.08353
2.0,224,11260.089291
2.0,202,11357.645755
3.0,249,11481.071213
0.0,123,11538.30093
0.0,127,11598.777602
0.0,125,11657.061511
0.0,129,11718.342837
4.0,279,11858.41849
2.0,201,11956.14413
0.0,127,12017.077532
0.0,125,12075.120332
0.0,125,12132.861959
2.0,225,12243.356953
1.0,177,12330.046415
2.0,221,12436.526383
2.0,200,12534.498197
0.0,127,12592.816284
0.0,127,12652.356731
0.0,127,12709.968358
3.0,252,12834.66958
0.0,129,12895.025038
0.0,127,12954.114512
1.0,153,13026.049789
3.0,248,13148.314685
2.0,220,13256.1238
0.0,129,13316.203265
0.0,125,13375.432069
1.0,173,13457.957378
5.0,328,13622.867883
0.0,129,13683.316677
0.0,127,13743.657482
0.0,127,13801.582952
0.0,127,13861.647096
1.0,171,13943.683396
4.0,300,14095.93043
1.0,175,14179.537683
3.0,250,14303.039803
1.0,155,14376.415949
0.0,127,14436.87401
6.0,401,14637.283149
0.0,129,14698.175965
1.0,176,14784.282707
4.0,301,14934.430208
0.0,129,14994.953359
0.0,129,15055.300959
2.0,202,15154.988364
2.0,224,15264.751341
2.0,224,15374.462321
4.0,297,15522.091542
0.0,125,15581.32171
1.0,157,15656.708896
0.0,127,15716.610872
4.0,324,15878.3966
2.0,201,15976.4266
0.0,125,16033.674757
3.0,250,16157.221651
2.0,202,16257.615108
0.0,129,16317.433537
0.0,129,16377.467525
5.0,328,16542.485762
1.0,173,16625.8913
3.0,250,16749.131063
2.0,217,16854.891178
5.0,332,17022.421013
1.0,171,17104.16643
2.0,221,17213.940947
1.0,155,17287.725491
0.0,125,17346.403588
1.0,175,17430.510509
1.0,175,17516.940153
3.0,232,17630.346977
2.0,224,17741.19895
0.0,127,17801.403323
3.0,231,17914.619767
2.0,199,18011.510185
1.0,155,18084.901734
1.0,157,18160.874641
0.0,127,18220.529063
2.0,200,18318.586616
0.0,127,18377.058137
4.0,275,18515.488316
0.0,129,18575.700775
0.0,125,18633.605101
2.0,202,18731.552619
4.0,280,18871.824742
0.0,129,18932.224741
3.0,235,19047.833919
1.0,176,19132.02356
2.0,186,19223.975502
0.0,129,19284.947199
0.0,127,19343.080829
2.0,201,19442.825827
1.0,153,19514.101993
0.0,125,19573.671065
3.0,249,19696.446311
2.0,202,19793.572488
1.0,155,19867.009703
1.0,155,19942.199334
2.0,202,20039.525754
6.0,379,20229.83923
1.0,157,20305.393665
3.0,268,20439.364579
0.0,129,20501.108947
9.0,380,20692.036397
0.0,129,20751.981634
0.0,129,20811.8737
0.0,129,20871.48758
1.0,173,20954.213818
0.0,129,21014.202305
5.0,350,21189.913446
0.0,123,21247.122149
1.0,171,21328.071471
3.0,270,21460.676177
0.0,127,21520.383667
0.0,129,21580.672316
1.0,155,21653.974016
4.0,299,21802.699285
1.0,175,21885.984004
0.0,129,21946.693388
0.0,129,22006.722803
3.0,250,22130.897944
2.0,200,22230.660079
1.0,173,22312.802748
0.0,129,22373.222126
5.0,329,22538.539536
4.0,297,22689.102445
14.0,474,22929.5525
3.0,248,23052.37501
2.0,203,23152.022052
0.0,125,23209.411969
0.0,127,23267.370002
2.0,202,23366.279426
0.0,125,23423.534377
0.0,129,23483.744615
0.0,129,23543.57334
10.0,448,23770.660088
0.0,127,23830.78426
2.0,220,23938.978096
7.0,425,24154.206357
0.0,127,24214.457584
0.0,127,24273.31953
0.0,127,24333.481812
0.0,129,24394.714442
0.0,127,24452.847899
0.0,125,24512.810157
5.0,352,24688.84977
