#{"t_start": 1518620743.5484676, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,201,25.939098
1.0,155,41.642458
6.0,359,80.041997
3.0,232,106.194114
2.0,204,128.688828
4.0,268,156.822781
3.0,232,181.683681
0.0,129,194.489287
2.0,202,215.958376
1.0,157,231.925514
2.0,182,250.676262
1.0,178,269.184751
1.0,175,287.250915
4.0,282,316.949512
0.0,127,329.750744
0.0,129,342.691173
0.0,127,355.302613
2.0,200,376.194281
0.0,129,388.34469
5.0,346,424.741267
0.0,127,437.760182
1.0,170,455.117761
1.0,173,472.776702
1.0,155,488.37591
2.0,198,509.713656
4.0,302,543.069038
0.0,127,555.985277
2.0,200,576.803553
3.0,257,603.442243
3.0,252,630.018879
3.0,272,658.796569
0.0,125,671.288713
0.0,129,684.074584
0.0,127,696.458135
2.0,204,716.86636
3.0,268,745.031118
1.0,173,762.660933
2.0,226,786.363776
1.0,171,803.695576
0.0,129,816.677161
0.0,125,828.404867
9.0,404,871.615577
1.0,173,889.385219
2.0,203,910.297229
1.0,171,927.531696
0.0,129,940.532284
2.0,202,962.337832
2.0,202,983.402367
3.0,272,1011.143955
1.0,171,1029.001262
0.0,127,1041.375945
1.0,172,1059.186956
0.0,129,1072.131081
2.0,198,1092.805156
1.0,155,1109.447542
0.0,125,1121.323086
0.0,125,1133.548257
2.0,188,1153.955776
0.0,129,1166.16797
0.0,129,1179.231467
4.0,302,1212.270764
1.0,175,1230.58339
8.0,447,1278.617754
0.0,127,1291.034347
2.0,220,1313.953885
0.0,127,1326.860552
2.0,204,1347.746055
1.0,173,1365.38611
2.0,202,1386.797841
3.0,248,1412.659124
0.0,127,1425.272093
0.0,129,1438.261551
4.0,299,1469.75129
3.0,247,1494.770828
3.0,234,1518.901991
1.0,174,1536.293899
2.0,207,1557.366796
2.0,203,1578.430555
0.0,127,1591.267106
3.0,252,1618.608273
1.0,157,1634.144052
0.0,127,1646.850525
0.0,127,1659.147095
0.0,123,1671.20435
2.0,183,1690.474724
3.0,250,1717.483276
2.0,227,1741.326615
0.0,129,1754.261628
0.0,129,1766.584023
0.0,129,1779.534226
2.0,221,1802.242432
1.0,173,1819.808611
1.0,155,1835.009948
0.0,129,1847.074841
0.0,127,1859.622436
1.0,155,1875.321124
0.0,129,1888.467092
0.0,127,1900.783817
0.0,125,1912.674178
2.0,202,1933.719881
7.0,325,1968.07455
0.0,129,1980.966001
0.0,129,1993.47965
0.0,127,2006.21483
2.0,202,2027.559534
0.0,129,2040.661094
0.0,129,2053.684092
0.0,129,2066.398479
2.0,202,2087.470464
1.0,173,2104.340196
0.0,127,2116.920461
6.0,372,2157.821308
0.0,129,2170.738234
1.0,173,2188.455372
1.0,173,2206.716248
6.0,375,2246.289142
0.0,127,2258.137896
4.0,299,2291.078924
0.0,125,2302.983277
12.0,431,2350.425368
5.0,329,2385.114386
5.0,352,2422.21064
0.0,129,2435.013821
0.0,127,2447.893695
1.0,175,2466.039726
0.0,127,2479.129787
1.0,153,2494.572854
7.0,324,2528.369337
4.0,297,2560.464723
0.0,129,2573.14201
0.0,129,2586.937945
0.0,129,2599.962513
0.0,129,2612.818785
10.0,453,2662.049978
2.0,203,2683.400239
2.0,200,2704.959647
1.0,155,2720.518401
1.0,174,2738.555794
1.0,155,2753.777453
0.0,129,2766.188314
0.0,129,2778.283129
1.0,171,2795.795462
0.0,129,2808.590258
2.0,206,2829.808613
2.0,185,2848.6502
1.0,173,2867.416154
0.0,129,2880.610652
0.0,129,2893.015425
5.0,352,2930.745561
0.0,127,2943.256325
5.0,338,2979.467724
5.0,350,3018.316279
1.0,156,3034.242217
3.0,248,3060.516046
2.0,202,3081.79497
0.0,125,3093.946264
3.0,249,3120.190049
0.0,129,3132.385331
2.0,202,3153.41946
0.0,127,3165.76071
2.0,222,3189.440457
0.0,127,3202.156629
4.0,301,3234.090735
8.0,376,3274.746821
0.0,129,3288.000391
0.0,127,3301.027212
3.0,246,3326.743246
1.0,155,3343.044154
5.0,328,3377.775188
4.0,301,3409.100381
0.0,123,3421.265928
0.0,123,3432.93749
3.0,230,3456.949143
4.0,293,3487.64245
0.0,129,3500.584959
1.0,157,3516.121418
0.0,127,3529.064079
4.0,300,3560.423858
2.0,206,3581.479277
0.0,129,3594.608448
0.0,127,3607.609149
4.0,320,3641.541536
0.0,127,3654.125243
1.0,157,3669.603879
1.0,153,3684.945504
1.0,173,3701.773274
0.0,127,3714.292468
4.0,280,3743.678795
3.0,252,3769.914745
0.0,129,3783.333472
0.0,129,3795.679032
3.0,272,3824.297071
0.0,129,3837.292282
0.0,129,3850.070084
12.0,521,3907.03157
0.0,129,3919.652348
0.0,129,3932.288516
4.0,321,3967.441943
2.0,202,3988.178059
3.0,271,4016.245253
2.0,187,4035.582559
3.0,248,4061.569752
2.0,202,4082.272666
0.0,125,4094.755114
0.0,127,4107.317698
4.0,284,4137.863598
1.0,176,4156.329414
9.0,404,4199.377928
0.0,129,4212.249423
1.0,175,4230.377239
6.0,401,4273.569601
0.0,127,4285.893688
1.0,157,4301.70748
3.0,272,4330.919826
1.0,172,4349.380332
0.0,127,4362.244318
9.0,385,4403.408152
5.0,329,4438.948613
4.0,298,4469.348378
5.0,350,4506.730779
0.0,127,4519.317927
2.0,200,4540.147291
0.0,125,4552.711591
0.0,129,4565.48462
2.0,202,4585.7339
2.0,200,4606.933054
2.0,202,4627.628242
5.0,350,4666.283213
5.0,352,4704.829997
0.0,127,4716.716454
9.0,427,4762.774533
0.0,129,4775.835693
13.0,457,4825.595745
0.0,127,4837.379367
0.0,125,4849.874405
1.0,157,4865.774046
0.0,127,4878.437711
4.0,299,4910.011173
0.0,127,4922.382189
2.0,202,4944.066778
2.0,202,4964.169756
11.0,498,5017.668646
2.0,198,5037.696343
0.0,129,5050.760731
0.0,127,5063.153979
0.0,127,5075.62822
2.0,202,5096.523779
0.0,127,5108.808567
2.0,202,5129.57628
0.0,129,5142.241652
2.0,202,5163.832636
0.0,129,5176.536828
2.0,200,5197.403312
0.0,129,5210.197078
9.0,404,5253.940046
10.0,451,5301.703763
0.0,127,5314.33168
0.0,129,5326.526719
0.0,129,5339.791226
0.0,129,5352.804651
3.0,230,5376.566051
9.0,404,5418.550303
1.0,157,5434.54231
5.0,326,5469.095584
4.0,297,5500.909153
0.0,127,5513.191059
4.0,280,5542.406104
5.0,350,5580.038672
2.0,200,5601.350533
0.0,127,5614.285377
1.0,157,5630.804502
0.0,127,5643.442598
4.0,297,5675.360375
9.0,384,5716.224012
3.0,228,5741.008391
0.0,125,5753.70987
0.0,127,5766.738223
4.0,297,5798.242144
4.0,299,5829.505519
0.0,127,5841.319606
5.0,350,5878.341063
3.0,247,5904.097054
0.0,127,5916.404173
9.0,404,5959.310483
0.0,127,5971.767188
6.0,379,6011.044202
2.0,202,6032.027934
9.0,407,6074.905439
13.0,459,6124.265266
5.0,350,6161.338147
3.0,270,6189.815024
9.0,403,6232.234081
6.0,378,6273.114459
0.0,127,6285.908844
3.0,248,6311.818876
5.0,350,6348.606524
10.0,433,6395.460608
7.0,322,6429.889236
0.0,129,6442.343542
8.0,372,6482.327824
10.0,451,6530.568769
2.0,200,6551.117567
2.0,202,6571.566941
2.0,202,6592.436018
0.0,125,6605.129593
0.0,129,6618.200746
2.0,223,6641.291445
2.0,202,6662.170547
1.0,176,6680.068968
0.0,127,6692.352733
0.0,129,6705.026566
5.0,346,6742.609861
5.0,350,6779.73335
3.0,246,6805.124581
3.0,248,6831.459143
0.0,129,6844.096618
2.0,218,6867.109434
10.0,470,6917.082951
0.0,127,6929.335611
2.0,202,6950.589269
0.0,129,6962.766424
0.0,129,6975.72017
2.0,202,6996.409874
2.0,202,7016.827406
0.0,129,7029.219334
10.0,453,7078.468719
5.0,350,7116.608599
2.0,200,7137.011788
4.0,297,7167.967176
3.0,246,7194.100979
0.0,125,7206.790397
0.0,127,7219.127615
0.0,125,7231.118663
0.0,129,7244.080198
3.0,230,7267.789856
0.0,127,7280.357841
9.0,404,7323.032494
2.0,202,7343.730258
5.0,350,7381.430443
6.0,397,7424.675622
0.0,125,7436.45447
0.0,127,7449.554014
0.0,129,7462.026348
4.0,317,7496.163986
0.0,129,7509.115203
5.0,350,7546.796068
1.0,173,7563.959972
0.0,127,7576.960649
0.0,127,7589.84293
2.0,198,7610.982949
0.0,127,7623.447805
0.0,125,7635.887895
2.0,200,7656.74989
1.0,173,7674.834115
5.0,329,7709.740644
2.0,202,7731.087987
0.0,125,7743.920117
7.0,432,7790.584545
5.0,350,7828.078476
0.0,129,7841.435226
1.0,155,7856.664274
0.0,129,7870.294196
1.0,157,7886.680951
2.0,200,7907.949276
3.0,251,7936.019461
0.0,129,7949.15395
2.0,202,7969.743944
0.0,129,7982.576766
9.0,404,8026.307389
3.0,230,8050.370933
2.0,200,8071.215227
0.0,127,8083.641227
2.0,202,8103.721205
0.0,129,8116.787781
2.0,200,8137.235221
0.0,127,8149.895681
0.0,129,8162.917515
0.0,129,8175.184398
2.0,202,8195.600009
1.0,171,8213.668477
9.0,404,8257.830852
0.0,129,8270.922933
0.0,129,8283.929593
0.0,129,8296.955537
5.0,350,8332.956422
4.0,297,8365.337221
0.0,129,8378.557008
11.0,312,8412.047036
2.0,198,8432.612227
1.0,155,8448.244109
3.0,248,8474.363746
0.0,125,8486.047583
2.0,198,8506.421449
2.0,225,8530.039361
0.0,129,8543.275194
9.0,401,8586.611148
9.0,404,8629.778417
0.0,125,8642.132806
2.0,198,8663.283561
10.0,435,8711.022917
4.0,299,8742.18872
1.0,158,8757.258348
0.0,125,8769.492675
0.0,129,8782.717236
0.0,127,8795.553198
0.0,127,8808.248804
1.0,155,8823.688363
2.0,225,8847.237385
0.0,129,8859.893223
9.0,427,8905.161047
1.0,157,8921.220575
11.0,473,8973.585922
0.0,127,8986.022007
5.0,350,9023.054375
3.0,230,9046.951464
2.0,202,9068.175093
1.0,157,9084.630014
1.0,155,9100.21633
0.0,129,9112.309931
0.0,129,9125.320103
0.0,127,9137.628159
0.0,123,9149.9422
0.0,129,9162.488324
0.0,125,9174.402011
9.0,380,9215.182233
4.0,299,9247.071447
1.0,157,9262.982033
4.0,299,9294.64669
4.0,297,9326.056493
0.0,129,9338.937877
5.0,352,9377.350667
1.0,173,9394.699049
0.0,125,9406.816365
0.0,127,9419.533342
5.0,350,9455.293114
0.0,127,9468.169197
1.0,155,9484.133008
5.0,350,9520.619585
1.0,171,9538.359509
1.0,175,9556.609778
5.0,350,9593.456087
1.0,171,9611.240316
2.0,205,9632.302013
2.0,203,9653.439891
0.0,129,9666.311052
5.0,352,9703.036235
3.0,228,9726.871045
4.0,269,9755.533338
0.0,129,9767.735553
4.0,280,9797.692997
2.0,204,9818.997537
0.0,129,9832.137487
0.0,125,9845.095437
0.0,127,9857.977219
2.0,207,9879.189056
3.0,228,9902.581332
2.0,202,9924.20824
2.0,202,9944.924261
4.0,297,9975.232019
3.0,268,10004.377636
3.0,216,10026.536995
1.0,173,10043.897939
4.0,319,10078.639325
1.0,153,10093.399609
4.0,259,10121.500839
2.0,184,10140.0488
8.0,452,10189.742672
3.0,213,10211.244415
3.0,248,10237.730058
1.0,157,10254.31862
1.0,175,10271.844896
2.0,185,10291.558403
2.0,206,10313.664061
3.0,216,10336.381004
3.0,252,10363.274389
9.0,380,10404.689791
1.0,155,10420.546751
3.0,230,10444.969116
2.0,184,10463.724694
7.0,408,10507.664999
4.0,297,10540.16424
1.0,155,10556.046144
2.0,202,10576.893986
3.0,214,10599.750704
0.0,129,10612.584466
0.0,127,10625.669527
2.0,203,10646.949376
0.0,127,10659.961352
5.0,350,10697.248363
0.0,127,10709.910898
1.0,155,10725.627371
2.0,198,10746.638059
5.0,350,10783.94124
0.0,127,10796.739071
6.0,397,10839.627584
0.0,127,10852.096502
3.0,228,10875.802792
4.0,262,10903.798815
0.0,125,10916.331812
2.0,182,10934.170116
0.0,129,10946.977664
0.0,127,10959.677735
2.0,223,10983.531395
0.0,125,10995.428135
1.0,175,11013.273564
1.0,153,11028.760125
11.0,457,11078.069777
0.0,129,11091.085128
2.0,202,11111.038259
3.0,235,11135.75299
3.0,232,11159.876641
0.0,127,11172.529151
2.0,205,11193.813515
1.0,155,11209.622041
1.0,175,11227.997559
4.0,298,11259.941518
1.0,153,11275.669515
3.0,237,11299.968223
6.0,400,11343.07561
2.0,202,11363.753596
9.0,404,11407.606527
0.0,127,11419.553944
1.0,155,11435.430002
1.0,157,11451.138301
7.0,447,11498.687394
4.0,297,11531.321995
1.0,155,11547.050893
2.0,201,11566.594991
8.0,497,11621.177554
3.0,246,11646.438039
6.0,369,11686.095783
1.0,155,11701.682578
6.0,378,11742.301894
4.0,299,11774.46746
3.0,234,11799.243339
9.0,404,11842.120749
0.0,129,11854.803737
5.0,350,11893.134838
8.0,350,11930.17717
5.0,350,11968.125409
2.0,206,11989.13129
2.0,218,12012.60855
0.0,127,12025.290039
0.0,127,12037.769411
10.0,451,12085.922983
1.0,152,12101.247623
1.0,175,12119.29489
2.0,186,12138.498427
6.0,399,12181.305432
5.0,312,12214.553007
2.0,200,12234.53906
0.0,127,12246.856272
1.0,154,12262.303224
5.0,328,12296.585773
5.0,290,12327.571205
6.0,399,12370.993271
11.0,501,12423.650381
2.0,206,12444.678833
1.0,154,12459.757198
1.0,155,12475.239181
6.0,400,12518.792867
10.0,451,12567.705231
0.0,129,12580.69082
5.0,348,12617.479152
4.0,297,12649.09774
1.0,157,12665.154606
2.0,205,12686.229175
1.0,155,12702.113303
9.0,404,12745.879584
4.0,297,12777.854178
7.0,393,12820.559799
4.0,297,12851.581546
6.0,396,12895.525161
2.0,183,12914.423446
1.0,174,12932.193327
10.0,471,12982.141533
4.0,297,13013.654034
1.0,153,13028.939476
5.0,350,13065.687521
0.0,125,13077.636714
4.0,297,13109.378274
4.0,267,13137.695719
1.0,176,13155.8948
2.0,201,13176.599327
1.0,155,13192.488639
5.0,295,13223.748325
4.0,318,13257.521987
10.0,432,13304.15753
0.0,125,13316.054008
2.0,224,13339.358709
8.0,406,13382.368428
4.0,266,13411.568666
4.0,297,13442.850542
1.0,155,13458.62096
1.0,155,13474.43233
2.0,201,13494.943349
10.0,431,13540.619358
2.0,186,13559.424499
0.0,127,13571.957314
10.0,453,13620.523126
6.0,327,13654.714794
4.0,297,13686.510863
1.0,157,13701.851581
12.0,508,13755.857314
0.0,129,13768.963186
10.0,431,13814.117131
1.0,157,13830.10908
9.0,404,13873.070727
1.0,159,13889.334269
4.0,263,13916.83156
2.0,185,13935.580723
1.0,155,13950.959398
3.0,230,13974.992274
3.0,229,13999.388685
4.0,280,14028.44979
0.0,129,14041.363525
11.0,485,14093.965555
1.0,157,14109.723758
3.0,216,14131.493778
0.0,127,14143.815328
7.0,418,14189.038637
4.0,301,14220.112034
1.0,157,14235.879865
1.0,157,14251.741264
3.0,218,14273.741834
6.0,399,14317.174135
2.0,206,14337.639758
3.0,216,14359.803385
2.0,217,14381.977725
3.0,233,14405.886653
3.0,255,14433.252238
5.0,310,14466.161369
6.0,399,14508.208949
4.0,282,14537.911451
2.0,187,14556.637462
5.0,350,14593.441126
9.0,480,14645.785881
7.0,381,14685.660524
2.0,184,14704.13675
0.0,129,14716.843419
9.0,309,14749.51411
6.0,395,14791.821857
2.0,206,14813.296038
3.0,248,14838.696793
2.0,190,14858.018536
3.0,221,14881.727848
2.0,183,14900.425052
9.0,401,14941.858176
13.0,536,14999.748923
5.0,372,15039.025861
1.0,175,15056.045854
3.0,226,15079.730677
4.0,276,15109.407017
0.0,125,15121.471443
6.0,358,15159.655643
4.0,260,15186.467237
15.0,529,15243.027685
5.0,350,15279.904749
9.0,404,15323.255813
5.0,325,15357.210194
4.0,298,15387.266627
6.0,368,15426.257706
7.0,410,15469.429267
4.0,280,15499.968619
9.0,346,15537.216103
2.0,188,15556.56719
0.0,127,15569.186379
6.0,396,15611.872732
5.0,329,15646.530854
6.0,394,15688.369809
2.0,206,15709.363128
3.0,216,15731.373624
9.0,405,15774.380258
2.0,186,15792.794946
4.0,258,15819.106246
2.0,222,15842.043329
2.0,182,15859.496006
6.0,338,15894.994081
9.0,308,15926.700634
4.0,283,15956.709384
5.0,350,15992.415256
8.0,299,16023.18589
4.0,266,16050.999132
9.0,404,16093.558057
11.0,458,16141.788262
7.0,409,16184.962213
8.0,423,16229.850406
11.0,427,16275.177876
3.0,252,16300.192065
3.0,211,16322.680687
6.0,347,16357.790797
5.0,292,16388.382184
4.0,274,16416.950861
4.0,245,16443.535728
7.0,420,16489.083032
4.0,321,16524.317482
9.0,404,16565.97834
5.0,289,16596.130374
5.0,293,16626.416017
15.0,527,16681.703298
5.0,346,16717.83521
2.0,206,16738.328571
5.0,347,16773.533032
2.0,205,16794.202798
3.0,231,16817.544061
5.0,312,16850.411315
5.0,311,16882.439108
5.0,295,16913.321461
4.0,297,16944.267611
8.0,425,16989.852127
13.0,353,17026.707425
7.0,388,17067.510559
2.0,206,17088.621672
13.0,523,17144.769393
12.0,527,17199.653275
6.0,359,17237.516234
13.0,503,17290.874304
2.0,204,17311.759531
5.0,294,17342.211808
8.0,465,17390.128718
5.0,307,17421.598379
3.0,232,17446.486034
8.0,444,17493.511127
17.0,566,17553.693517
8.0,299,17585.038614
5.0,310,17616.683853
4.0,281,17645.963508
9.0,346,17682.92334
13.0,452,17731.180203
1.0,177,17748.166076
5.0,310,17780.406045
4.0,260,17807.588648
4.0,287,17836.861774
10.0,525,17893.02993
9.0,404,17935.184051
4.0,265,17962.036051
13.0,459,18010.510927
10.0,397,18050.654003
8.0,391,18090.864308
6.0,358,18127.143234
12.0,501,18180.03222
14.0,425,18224.776085
8.0,403,18266.855159
6.0,339,18301.452466
3.0,233,18325.187009
7.0,397,18366.94237
4.0,277,18395.84397
5.0,292,18426.096714
6.0,332,18460.069691
7.0,386,18500.689564
6.0,340,18535.48161
5.0,349,18571.846536
9.0,503,18624.861474
8.0,300,18656.107644
13.0,554,18714.136774
6.0,303,18744.451567
20.0,483,18795.740208
10.0,451,18843.431278
16.0,752,18923.835443
11.0,407,18967.425679
5.0,327,19001.971282
7.0,396,19043.981788
17.0,641,19112.923419
4.0,277,19141.546533
3.0,234,19166.183987
6.0,342,19201.800883
12.0,494,19254.096847
7.0,396,19295.586886
10.0,511,19350.260389
16.0,571,19410.985592
5.0,297,19442.431283
3.0,235,19466.102136
10.0,500,19519.330066
9.0,344,19555.804883
16.0,473,19605.49361
3.0,231,19629.587623
20.0,698,19704.754309
8.0,436,19749.67805
13.0,586,19811.663884
16.0,643,19879.64643
4.0,286,19909.775845
7.0,408,19952.162785
14.0,382,19991.792103
12.0,514,20046.492671
17.0,628,20114.308681
10.0,493,20166.473842
22.0,685,20238.917694
12.0,479,20290.630002
3.0,213,20311.723556
13.0,351,20348.125222
17.0,602,20410.712438
13.0,608,20473.68025
12.0,441,20520.252897
18.0,631,20587.814987
19.0,680,20659.280373
20.0,659,20728.143517
12.0,532,20784.565826
17.0,615,20850.433549
20.0,742,20929.34643
2.0,203,20950.078009
5.0,309,20982.351692
14.0,570,21041.567834
27.0,730,21117.95725
23.0,845,21208.871209
14.0,382,21248.870641
17.0,606,21313.914338
9.0,504,21367.506886
17.0,461,21416.870427
20.0,475,21465.885094
11.0,271,21494.226927
12.0,528,21551.052879
10.0,501,21603.449358
16.0,595,21667.241409
31.0,896,21763.525359
12.0,606,21827.471484
34.0,845,21917.320819
8.0,437,21962.185447
16.0,461,22009.530409
15.0,730,22086.663123
21.0,667,22157.459047
21.0,810,22243.829991
13.0,538,22299.815778
20.0,800,22384.83719
15.0,614,22451.629668
19.0,797,22535.727574
10.0,532,22591.361548
28.0,657,22661.921073
11.0,503,22715.060937
28.0,408,22757.088576
28.0,718,22831.990219
17.0,761,22913.005354
